Fecha;Aceites lubricantes;Asfalto;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;"Mezclas
oleosas";Naftas;PetCoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;Orimulsión;Total
ene/2000;0.00;48446.00;296766.99;0.00;0.00;0.00;0.00;194410.48;1426.00;202645.20;308156.82;0.00;64026.09;0.00;0.00;0.00;0.00;0.00;0.00;634667.06;0.00;1750544.64
feb/2000;0.00;50597.00;328116.44;0.00;0.00;0.00;0.00;174710.55;1458.00;205530.96;307766.31;0.00;62660.30;0.00;0.00;0.00;0.00;0.00;0.00;642380.66;0.00;1773220.22
mar/2000;0.00;27593.00;368589.63;0.00;0.00;0.00;0.00;189234.07;1503.00;229499.56;331910.29;0.00;61361.99;0.00;0.00;0.00;0.00;0.00;0.00;699807.25;0.00;1909498.79
abr/2000;0.00;53794.00;396300.47;0.00;0.00;0.00;0.00;174330.61;1561.00;210680.40;315648.08;0.00;61814.32;0.00;0.00;0.00;0.00;0.00;0.00;586803.98;0.00;1800932.86
may/2000;0.00;60137.00;449368.92;0.00;0.00;0.00;0.00;191745.15;1642.00;208164.34;319667.97;0.00;54098.32;0.00;0.00;0.00;0.00;0.00;0.00;656948.20;0.00;1941771.90
jun/2000;0.00;40623.00;404033.69;0.00;0.00;0.00;0.00;196321.93;1641.00;195088.74;300347.70;0.00;60390.32;0.00;0.00;0.00;0.00;0.00;0.00;570919.88;0.00;1769366.26
jul/2000;0.00;36670.00;291436.20;0.00;0.00;0.00;0.00;192344.50;1598.00;204556.77;308305.93;0.00;61931.56;0.00;0.00;0.00;0.00;0.00;0.00;576436.02;0.00;1673278.98
ago/2000;0.00;25033.00;373811.63;0.00;0.00;0.00;0.00;203727.08;1438.00;218388.51;323011.86;0.00;70821.94;0.00;0.00;0.00;0.00;0.00;0.00;593770.77;0.00;1810002.79
sep/2000;0.00;16906.00;322718.89;0.00;0.00;0.00;0.00;194565.10;1469.00;213906.96;326455.72;0.00;58960.01;0.00;0.00;0.00;0.00;0.00;0.00;590145.40;0.00;1725127.08
oct/2000;0.00;22070.00;260955.42;0.00;0.00;0.00;0.00;210261.83;1475.00;213606.65;323843.63;0.00;63794.12;0.00;0.00;0.00;0.00;0.00;0.00;641113.36;0.00;1737120.01
nov/2000;0.00;25659.00;310274.26;0.00;0.00;0.00;0.00;205027.95;1498.00;209227.48;320788.08;0.00;65733.00;0.00;0.00;0.00;0.00;0.00;0.00;657086.30;0.00;1795294.07
dic/2000;0.00;20430.00;284045.83;0.00;0.00;0.00;0.00;200247.56;1501.00;230020.70;366987.56;0.00;68848.50;0.00;0.00;0.00;0.00;0.00;0.00;673282.26;0.00;1845363.41
ene/2001;0.00;30002.22;399107.63;0.00;0.00;0.00;0.00;179405.99;1755.58;164547.35;300242.78;0.00;69691.25;0.00;0.00;0.00;0.00;0.00;0.00;569328.79;0.00;1714081.59
feb/2001;0.00;34407.57;404897.00;0.00;0.00;0.00;0.00;167818.14;1510.58;174838.81;301483.40;0.00;56326.42;0.00;0.00;0.00;0.00;0.00;0.00;597749.83;0.00;1739031.76
mar/2001;0.00;32274.68;406269.28;0.00;0.00;0.00;0.00;186397.33;1602.58;201992.65;355572.83;0.00;68208.99;0.00;0.00;0.00;0.00;0.00;0.00;736085.97;0.00;1988404.31
abr/2001;0.00;26986.96;397689.22;0.00;0.00;0.00;0.00;175820.35;1355.58;198683.39;355826.76;0.00;66697.90;0.00;0.00;0.00;0.00;0.00;0.00;606257.66;0.00;1829317.82
may/2001;0.00;29776.72;494837.73;0.00;0.00;0.00;0.00;178303.33;1273.58;182504.09;336040.04;0.00;61641.63;0.00;0.00;0.00;0.00;0.00;0.00;664082.66;0.00;1948459.78
jun/2001;0.00;26759.22;385382.02;0.00;0.00;0.00;0.00;177826.93;1171.58;201379.48;308804.70;0.00;57796.09;0.00;0.00;0.00;0.00;0.00;0.00;559333.03;0.00;1718453.05
jul/2001;0.00;24312.29;482085.37;0.00;0.00;0.00;0.00;191041.99;1637.58;214980.24;350501.97;0.00;67033.45;0.00;0.00;0.00;0.00;0.00;0.00;589452.73;0.00;1921045.63
ago/2001;0.00;25226.00;470955.27;0.00;0.00;0.00;0.00;190295.99;1412.58;204646.77;348414.65;0.00;64093.29;0.00;0.00;0.00;0.00;0.00;0.00;568546.37;0.00;1873590.93
sep/2001;0.00;20603.10;387235.78;0.00;0.00;0.00;0.00;184039.99;1710.58;188292.35;324393.96;0.00;51773.04;0.00;0.00;0.00;0.00;0.00;0.00;533108.39;0.00;1691157.20
oct/2001;0.00;29817.10;412617.56;0.00;0.00;0.00;0.00;206176.99;1102.58;225240.95;366261.63;0.00;56193.31;0.00;0.00;0.00;0.00;0.00;0.00;603371.18;0.00;1900781.31
nov/2001;0.00;22299.10;606966.56;0.00;0.00;0.00;0.00;201335.99;1791.58;210324.95;351890.63;0.00;53500.31;0.00;0.00;0.00;0.00;0.00;0.00;626156.18;0.00;2074265.31
dic/2001;0.00;19283.10;402835.56;0.00;0.00;0.00;0.00;209792.99;979.58;223209.95;403561.63;0.00;60508.31;0.00;0.00;0.00;0.00;0.00;0.00;664190.18;0.00;1984361.31
ene/2002;0.00;16971.66;512580.55;0.00;0.00;0.00;0.00;196068.61;1722.92;200309.85;368935.53;0.00;51969.77;0.00;0.00;0.00;37593.98;0.00;0.00;726672.60;0.00;2112825.45
feb/2002;0.00;22834.54;506069.63;0.00;0.00;0.00;0.00;180209.80;923.92;183119.34;348917.79;0.00;42796.92;0.00;0.00;0.00;85710.75;0.00;0.00;694344.78;0.00;2064927.45
mar/2002;0.00;22891.19;446878.07;0.00;0.00;0.00;0.00;186680.97;1082.92;212711.71;385044.97;0.00;53352.86;0.00;0.00;0.00;64873.73;0.00;0.00;656379.29;0.00;2029895.69
abr/2002;0.00;35584.54;450736.26;0.00;0.00;0.00;0.00;196167.16;1295.92;204765.62;379741.98;0.00;51056.14;0.00;0.00;0.00;40923.47;0.00;0.00;683646.17;0.00;2043917.24
