Fecha;Gasolina Superior;Gasolina Regular;Diesel
2021-01-01;21.91;21.11;17.61
2021-01-02;21.91;21.11;17.61
2021-01-03;21.91;21.11;17.61
2021-01-04;21.91;21.11;17.61
2021-01-05;21.91;21.11;17.61
2021-01-06;21.91;21.11;17.61
2021-01-07;21.91;21.11;17.61
2021-01-08;21.91;21.11;17.61
2021-01-09;21.91;21.11;17.61
2021-01-10;21.91;21.11;17.61
2021-01-11;22.39;21.59;17.69
2021-01-12;22.39;21.59;17.69
2021-01-13;22.39;21.59;17.69
2021-01-14;22.39;21.59;17.69
2021-01-15;22.39;21.59;17.69
2021-01-16;22.39;21.59;17.69
2021-01-17;22.39;21.59;17.69
2021-01-18;23.21;22.41;18.3
2021-01-19;23.21;22.41;18.3
2021-01-20;23.21;22.41;18.3
2021-01-21;23.21;22.41;18.3
2021-01-22;23.21;22.41;18.3
2021-01-23;23.21;22.41;18.3
2021-01-24;23.21;22.41;18.3
2021-01-25;23.44;22.64;18.47
2021-01-26;23.44;22.64;18.47
2021-01-27;23.44;22.64;18.47
2021-01-28;23.44;22.64;18.47
2021-01-29;23.44;22.64;18.47
2021-01-30;23.44;22.64;18.47
2021-01-31;23.44;22.64;18.47
2021-02-01;23.57;22.77;18.57
2021-02-02;23.57;22.77;18.57
2021-02-03;23.57;22.77;18.57
2021-02-04;23.57;22.77;18.57
2021-02-05;23.57;22.77;18.57
2021-02-06;23.57;22.77;18.57
2021-02-07;23.57;22.77;18.57
2021-02-08;23.98;23.18;18.98
2021-02-09;23.98;23.18;18.98
2021-02-10;23.98;23.18;18.98
2021-02-11;23.98;23.18;18.98
2021-02-12;23.98;23.18;18.98
2021-02-13;23.98;23.18;18.98
2021-02-14;23.98;23.18;18.98
2021-02-15;24.39;23.59;19.79
2021-02-16;24.39;23.59;19.79
2021-02-17;24.39;23.59;19.79
2021-02-18;24.39;23.59;19.79
2021-02-19;24.39;23.59;19.79
2021-02-20;24.39;23.59;19.79
2021-02-21;24.39;23.59;19.79
2021-02-22;25.1;24.3;20.5
2021-02-23;25.1;24.3;20.5
2021-02-24;25.1;24.3;20.5
2021-02-25;25.1;24.3;20.5
2021-02-26;25.1;24.3;20.5
2021-02-27;25.1;24.3;20.5
2021-02-28;25.1;24.3;20.5
2021-03-01;25.85;25.05;20.86
2021-03-02;25.85;25.05;20.86
2021-03-03;25.85;25.05;20.86
2021-03-04;25.85;25.05;20.86
2021-03-05;25.85;25.05;20.86
2021-03-06;25.85;25.05;20.86
2021-03-07;25.85;25.05;20.86
2021-03-08;26.6;25.81;21.31
2021-03-09;26.6;25.81;21.31
2021-03-10;26.6;25.81;21.31
2021-03-11;26.6;25.81;21.31
2021-03-12;26.6;25.81;21.31
2021-03-13;26.6;25.81;21.31
2021-03-14;26.6;25.81;21.31
2021-03-15;27.27;26.47;21.68
