Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
ene/2001;0.00;27748.99;214581.84;0.00;0.00;0.00;0.00;194065.74;820.00;177776.50;373963.96;0.00;33834.03;0.00;0.00;0.00;0.00;0.00;0.00;566101.99;8402.00;0.00;715344.00;2312639.05
feb/2001;0.00;7503.57;294609.00;0.00;0.00;0.00;0.00;170703.38;3054.00;123115.99;243091.07;0.00;67439.95;0.00;0.00;0.00;0.00;0.00;0.00;489525.80;0.00;0.00;370166.00;1769208.76
mar/2001;0.00;26304.32;315263.80;0.00;0.00;0.00;0.00;161837.37;677.00;161726.42;312084.38;0.00;31787.29;0.00;0.00;0.00;0.00;0.00;0.00;575559.68;0.00;0.00;360530.00;1945770.26
abr/2001;0.00;7885.89;205653.00;0.00;0.00;0.00;0.00;163048.64;3399.00;127338.74;285054.89;0.00;25801.18;0.00;0.00;0.00;0.00;0.00;0.00;437745.42;8184.00;0.00;359527.00;1623637.76
may/2001;0.00;8443.16;278371.30;0.00;0.00;0.00;0.00;171518.86;585.00;168730.19;300913.67;0.00;45529.33;0.00;0.00;0.00;0.00;0.00;0.00;552609.13;12680.00;0.00;723346.00;2262726.64
jun/2001;0.00;6229.04;218765.60;0.00;0.00;0.00;0.00;190004.42;492.00;152899.09;333217.19;0.00;64444.95;0.00;0.00;0.00;0.00;0.00;0.00;497855.26;0.00;0.00;360369.00;1824276.55
jul/2001;0.00;3103.99;156109.00;0.00;0.00;0.00;0.00;206022.83;655.00;136299.13;195071.86;0.00;23654.10;0.00;0.00;0.00;0.00;0.00;0.00;302350.02;10642.00;0.00;360570.00;1394477.93
ago/2001;0.00;27821.06;189692.60;0.00;0.00;0.00;0.00;100561.47;607.00;139365.07;268153.26;0.00;49890.61;0.00;0.00;0.00;0.00;0.00;0.00;464159.13;13357.00;0.00;719303.00;1972910.20
sep/2001;0.00;2324.85;385142.30;0.00;0.00;0.00;0.00;186839.02;3868.00;233643.75;308439.07;0.00;41519.91;0.00;0.00;0.00;0.00;0.00;0.00;321952.94;0.00;0.00;360635.00;1844364.84
oct/2001;0.00;1484.40;214138.00;0.00;0.00;0.00;0.00;163864.20;650.00;141550.22;305102.28;0.00;32657.33;0.00;0.00;0.00;0.00;0.00;0.00;438989.55;19431.00;0.00;717717.00;2035583.98
